,audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
161,6.1,Animation,62,78,76.51,"Les Razmoket à Paris, le film",9097,2000
162,5.3,Comedy,41,92,5.02,"Woman on top - Amour, piments et bossa nova",9097,2000
163,5.0,Comedy,31,105,10.01,Le bon numéro,9004,2000
164,7.2,Comedy,75,117,3.82,"Harry, un ami qui vous veut du bien",8846,2000
165,7.3,Comedy,60,110,0.69,Happy Accidents,8754,2000
166,6.9,Comedy,68,88,0.01,101 Reykjavik,8660,2000
167,6.8,Drama,70,110,1.52,Girlfight,8569,2000
168,6.0,Comedy,40,112,4.73,Duos d'un jour,8543,2000
169,5.5,Comedy,20,94,8.74,Dangereuse séduction,8490,2000
170,6.0,Drama,70,112,1.57,Hamlet,8393,2000
171,5.6,Comedy,41,105,6.29,De quelle planète viens-tu?,8376,2000
172,7.4,Comedy,68,114,5.31,"Pain, tulipes et comédie",8259,2000
173,4.6,Action,22,96,4.22,Left Behind,8157,2000
174,7.3,Comedy,78,112,0.64,Le goût des autres,8144,2000
175,5.9,Crime,45,113,0.1,Le poids de l'eau,8060,2000
176,5.8,Adventure,45,95,13.56,Le petit vampire,8009,2000
177,5.1,Drama,25,96,10.49,Un été sur terre,7693,2000
178,6.8,Comedy,77,88,0.78,Panic,7456,2000
179,5.7,Comedy,7,81,7.03,Screwed,7342,2000
180,7.2,Drama,86,92,1.45,Sous le sable,7179,2000
181,6.7,Comedy,70,87,4.34,Le tao de Steve,6971,2000
182,7.4,Drama,82,89,0.24,George Washington,6766,2000
183,6.6,Biography,44,103,0.05,Vatel,6665,2000
184,7.1,Romance,78,135,3.04,Chez les heureux du monde,6641,2000
185,7.0,Comedy,51,94,1.74,Le club des coeurs brisés,6380,2000
186,6.2,Drama,62,90,0.0,Uzumaki,6249,2000
187,5.7,Comedy,42,101,1.63,Mafia parano,6238,2000
188,6.7,Drama,59,105,0.33,Le fantôme de Sarah Williams,6208,2000
189,6.2,Drama,65,97,0.95,Time Code,6077,2000
190,5.9,Comedy,64,97,0.15,About Adam,5956,2000
191,7.7,Drama,78,80,0.7,Un temps pour l'ivresse des chevaux,5890,2000
192,7.8,Documentary,75,82,0.43,Dark Days,5803,2000
193,6.0,Animation,20,82,9.63,Digimon - Le film,5701,2000
194,7.2,Drama,49,130,1.84,Harrison's Flowers,5628,2000
195,6.9,Comedy,59,91,0.35,Krámpack,5563,2000
196,6.5,Drama,62,120,0.67,Rédemption,5505,2000
197,7.2,Crime,68,125,0.24,Vies brûlées,5479,2000
198,8.3,Comedy,70,139,0.02,Les démons à ma porte,5468,2000
199,6.2,Comedy,71,78,2.88,Séduction en mode mineur,5325,2000
200,6.9,Comedy,73,82,0.09,Gouttes d'eau sur pierres brûlantes,5215,2000
201,5.7,Comedy,46,104,0.01,Maybe Baby ou Comment les Anglais se reproduisent,5169,2000
202,7.4,Animation,74,132,0.12,Otesánek,5160,2000
203,7.7,Documentary,82,108,0.61,L'obscénité et la fureur - La véritable histoire des Sex Pistols,5119,2000
204,7.3,Drama,70,88,0.0,El bola,4999,2000
205,7.3,Drama,73,112,3.06,La veuve de Saint-Pierre,4959,2000
206,7.5,Drama,85,90,0.67,Le cercle,4942,2000
207,6.3,Comedy,42,95,0.27,Psycho Beach Party,4869,2000
208,6.7,Comedy,76,115,38.18,The Original Kings of Comedy,4863,2000
209,6.6,Comedy,76,96,1.05,Chuck & Buck,4821,2000
210,6.9,Comedy,46,91,1.44,Jardinage à l'anglaise,4818,2000
211,6.3,Comedy,44,82,0.55,Love & Sex,4797,2000
212,7.1,Drama,57,110,0.53,Bread and Roses,4793,2000
213,6.3,Drama,49,89,5.66,En toute complicité,4759,2000
214,5.6,Biography,42,89,0.01,"Ed Gein, le boucher",4607,2000
215,6.5,Comedy,23,103,0.0,"Gangsters, sex & karaoké",4582,2000
216,7.3,Crime,79,99,0.11,Dinner Rush,4508,2000
217,6.3,Action,41,109,0.0,Citizen Toxie: The Toxic Avenger IV,4431,2000
218,7.8,Comedy,69,120,1.32,Musíme si pomáhat,4411,2000
219,6.7,Drama,68,98,0.01,Presque rien,4387,2000
220,7.6,Documentary,83,82,0.15,Les glaneurs et la glaneuse,4204,2000
221,6.7,Crime,82,101,0.44,Merci pour le chocolat,4152,2000
222,5.6,Crime,37,88,13.02,The Crew,4141,2000
223,6.1,Romance,35,93,0.28,Peines d'amour perdues,4019,2000
224,5.6,Adventure,33,114,6.54,Je rêvais de l'Afrique,3957,2000
225,6.9,Drama,64,109,1.05,La défense Loujine,3941,2000
226,6.0,Drama,62,130,3.04,La coupe d'or,3905,2000
227,6.9,Action,60,113,0.09,Time and Tide,3860,2000
228,4.6,Drama,14,105,5.22,Sex & manipulations,3829,2000
229,7.1,Drama,66,87,0.03,Maelström,3774,2000
230,4.4,Comedy,10,82,4.14,Whipped,3722,2000
231,6.5,Drama,54,86,1.11,Groove,3718,2000
232,5.3,Crime,5,87,0.01,Vulgar,3687,2000
233,6.9,Comedy,59,90,0.13,Le battement d'ailes du papillon,3648,2000
234,7.5,Comedy,63,102,0.24,Happy Times,3588,2000
235,7.4,Comedy,59,118,0.51,Big Eden - Un petit miracle,3581,2000
236,5.4,Drama,23,112,3.06,Beautiful,3394,2000
237,7.5,Drama,76,83,0.1,Suzhou River,3373,2000
238,5.2,Comedy,44,98,0.04,Committed,3352,2000
239,5.8,Drama,41,123,0.03,Dancing at the Blue Iguana,3338,2000
240,6.8,Crime,73,101,0.53,La vierge des tueurs,3272,2000
241,7.0,Comedy,40,107,0.05,Comment tuer le chien de son voisin,3247,2000
242,7.2,Drama,72,112,0.46,À la verticale de l'été,3232,2000
243,6.6,Action,45,105,0.02,Bangkok Dangerous,3218,2000
244,5.9,Comedy,40,86,0.06,Beautiful Creatures,3173,2000
245,3.7,Adventure,19,85,15.91,Thomas and the Magic Railroad,3145,2000
246,6.8,Adventure,50,98,0.0,Escaflowne,3008,2000
247,7.2,Drama,63,109,3.05,Songcatcher,2962,2000
248,7.5,Drama,79,155,0.73,Infidèle,2942,2000
249,7.9,Drama,78,217,0.05,Eureka,2934,2000
250,7.0,Comedy,60,97,0.07,Everybody Famous,2891,2000
251,5.6,Drama,28,105,0.77,D'un rêve à l'autre,2858,2000
252,7.0,Drama,73,103,1.03,Urbania,2809,2000
253,5.9,Drama,32,100,0.03,Crime + Punishment,2781,2000
254,7.2,Drama,78,113,0.06,Aberdeen,2760,2000
255,8.8,Adventure,92,178,315.54,Le seigneur des anneaux: La communauté de l'anneau,1370856,2001
256,8.2,Biography,72,135,170.74,Un homme d'exception,693160,2001
257,8.1,Animation,78,92,289.92,Monstres et Cie,662356,2001
258,8.1,Drama,88,113,0.19,Donnie Darko,644625,2001
259,8.3,Comedy,69,122,33.23,Le fabuleux destin d'Amélie Poulain,595449,2001
260,7.9,Animation,84,90,267.67,Shrek,512971,2001
261,7.6,Adventure,64,152,317.58,Harry Potter à l'école des sorciers,507373,2001
262,8.6,Animation,96,125,10.06,Le voyage de Chihiro,486092,2001
263,7.8,Crime,74,116,183.41,Ocean's Eleven,439557,2001
264,7.7,Crime,69,122,76.63,Training Day,332271,2001
265,7.7,Drama,74,144,108.64,La chute du faucon noir,317368,2001
266,6.7,Action,58,106,144.53,Fast and Furious,298959,2001
267,7.6,Horror,74,101,96.52,Les autres,294278,2001
268,6.1,Action,44,183,198.54,Pearl Harbor,275410,2001
269,8.0,Drama,83,147,7.22,Mulholland Drive,267579,2001
270,6.3,Action,48,130,202.02,Le retour de la momie,266917,2001
271,7.1,Adventure,65,146,78.62,A.I. intelligence artificielle,258796,2001
272,5.9,Action,42,92,181.17,Jurassic Park III,242887,2001
273,7.6,Drama,66,127,57.39,Moulin Rouge,238975,2001
274,7.6,Comedy,76,110,52.36,La famille Tenenbaum,228162,2001
275,6.8,Crime,57,131,165.09,Hannibal,223324,2001
276,6.9,Fantasy,45,136,100.61,Vanilla Sky,220532,2001
277,6.6,Comedy,61,90,45.17,Zoolander,217515,2001
278,6.4,Comedy,43,108,145.1,American Pie 2,213346,2001
279,7.6,Biography,52,124,52.99,Blow,212975,2001
280,7.6,Drama,53,131,51.4,Stalingrad,208273,2001
281,5.7,Action,50,119,180.01,La planète des singes,192156,2001
282,6.7,Comedy,66,97,71.54,Le journal de Bridget Jones,191311,2001
283,6.6,Action,48,90,226.16,Rush Hour 2,173322,2001
284,5.8,Action,33,100,131.14,Lara Croft: Tomb Raider,169695,2001
285,6.5,Action,32,99,69.77,Opération Espadon,162779,2001
286,7.4,Drama,49,120,50.34,K-PAX - L'homme qui vient de loin,160103,2001
287,6.9,Action,56,132,56.57,Chevalier,147588,2001
288,6.2,Comedy,59,96,96.52,La revanche d'une blonde,147404,2001
289,6.9,Comedy,51,104,30.06,Jay & Bob contre-attaquent,135124,2001
290,6.8,Horror,54,122,31.6,From Hell,133031,2001
